"Step","token_ablation - giant - 10 - Train Loss","token_ablation - giant - 10 - Train Loss__MIN","token_ablation - giant - 10 - Train Loss__MAX","token_ablation - giant - 50 - Train Loss","token_ablation - giant - 50 - Train Loss__MIN","token_ablation - giant - 50 - Train Loss__MAX","token_ablation - giant - 20 - Train Loss","token_ablation - giant - 20 - Train Loss__MIN","token_ablation - giant - 20 - Train Loss__MAX","token_ablation - giant - 1 - Train Loss","token_ablation - giant - 1 - Train Loss__MIN","token_ablation - giant - 1 - Train Loss__MAX"
"0","1.1742329597473145","1.1742329597473145","1.1742329597473145","1.1106797456741333","1.1106797456741333","1.1106797456741333","1.1909208297729492","1.1909208297729492","1.1909208297729492","1.0830754041671753","1.0830754041671753","1.0830754041671753"
"1","1.1057754755020142","1.1057754755020142","1.1057754755020142","1.1481631994247437","1.1481631994247437","1.1481631994247437","1.1729187965393066","1.1729187965393066","1.1729187965393066","1.0838383436203003","1.0838383436203003","1.0838383436203003"
"2","1.1644482612609863","1.1644482612609863","1.1644482612609863","1.2963006496429443","1.2963006496429443","1.2963006496429443","1.0886884927749634","1.0886884927749634","1.0886884927749634","1.107265830039978","1.107265830039978","1.107265830039978"
"3","1.1490837335586548","1.1490837335586548","1.1490837335586548","1.3637802600860596","1.3637802600860596","1.3637802600860596","1.1375924348831177","1.1375924348831177","1.1375924348831177","1.0985862016677856","1.0985862016677856","1.0985862016677856"
"4","1.2487155199050903","1.2487155199050903","1.2487155199050903","1.6325900554656982","1.6325900554656982","1.6325900554656982","1.2528413534164429","1.2528413534164429","1.2528413534164429","1.085854172706604","1.085854172706604","1.085854172706604"
"5","1.309497594833374","1.309497594833374","1.309497594833374","1.6191655397415161","1.6191655397415161","1.6191655397415161","1.3877171277999878","1.3877171277999878","1.3877171277999878","1.1787246465682983","1.1787246465682983","1.1787246465682983"
"6","1.496100902557373","1.496100902557373","1.496100902557373","1.6549139022827148","1.6549139022827148","1.6549139022827148","1.4935704469680786","1.4935704469680786","1.4935704469680786","1.0611155033111572","1.0611155033111572","1.0611155033111572"
"7","1.4664959907531738","1.4664959907531738","1.4664959907531738","1.7049496173858643","1.7049496173858643","1.7049496173858643","1.556838035583496","1.556838035583496","1.556838035583496","1.1537688970565796","1.1537688970565796","1.1537688970565796"
"8","1.6985317468643188","1.6985317468643188","1.6985317468643188","1.6496226787567139","1.6496226787567139","1.6496226787567139","1.6581937074661255","1.6581937074661255","1.6581937074661255","1.1831551790237427","1.1831551790237427","1.1831551790237427"
"9","1.5719850063323975","1.5719850063323975","1.5719850063323975","1.680779218673706","1.680779218673706","1.680779218673706","1.7258055210113525","1.7258055210113525","1.7258055210113525","1.1385743618011475","1.1385743618011475","1.1385743618011475"
"10","1.6742106676101685","1.6742106676101685","1.6742106676101685","1.621617078781128","1.621617078781128","1.621617078781128","1.6791408061981201","1.6791408061981201","1.6791408061981201","1.1556835174560547","1.1556835174560547","1.1556835174560547"
"11","1.7163872718811035","1.7163872718811035","1.7163872718811035","1.7064740657806396","1.7064740657806396","1.7064740657806396","1.6626559495925903","1.6626559495925903","1.6626559495925903","1.1886844635009766","1.1886844635009766","1.1886844635009766"
"12","1.6810275316238403","1.6810275316238403","1.6810275316238403","1.6898765563964844","1.6898765563964844","1.6898765563964844","1.6567997932434082","1.6567997932434082","1.6567997932434082","1.3002653121948242","1.3002653121948242","1.3002653121948242"
"13","1.7302123308181763","1.7302123308181763","1.7302123308181763","1.641464114189148","1.641464114189148","1.641464114189148","1.6964799165725708","1.6964799165725708","1.6964799165725708","1.2127580642700195","1.2127580642700195","1.2127580642700195"
"14","1.7026097774505615","1.7026097774505615","1.7026097774505615","1.7178912162780762","1.7178912162780762","1.7178912162780762","1.6950502395629883","1.6950502395629883","1.6950502395629883","1.3937264680862427","1.3937264680862427","1.3937264680862427"
"15","1.729256510734558","1.729256510734558","1.729256510734558","1.7200098037719727","1.7200098037719727","1.7200098037719727","1.6518447399139404","1.6518447399139404","1.6518447399139404","1.3491511344909668","1.3491511344909668","1.3491511344909668"
"16","1.7297824621200562","1.7297824621200562","1.7297824621200562","1.6992216110229492","1.6992216110229492","1.6992216110229492","1.6980457305908203","1.6980457305908203","1.6980457305908203","1.412819504737854","1.412819504737854","1.412819504737854"
"17","1.7188934087753296","1.7188934087753296","1.7188934087753296","1.7385478019714355","1.7385478019714355","1.7385478019714355","1.7120516300201416","1.7120516300201416","1.7120516300201416","1.4482418298721313","1.4482418298721313","1.4482418298721313"
"18","1.727935791015625","1.727935791015625","1.727935791015625","1.7533539533615112","1.7533539533615112","1.7533539533615112","1.7273333072662354","1.7273333072662354","1.7273333072662354","1.446394920349121","1.446394920349121","1.446394920349121"
"19","1.753298044204712","1.753298044204712","1.753298044204712","1.761238932609558","1.761238932609558","1.761238932609558","1.7185388803482056","1.7185388803482056","1.7185388803482056","1.4487470388412476","1.4487470388412476","1.4487470388412476"
"20","1.711639404296875","1.711639404296875","1.711639404296875","1.7379698753356934","1.7379698753356934","1.7379698753356934","1.6795985698699951","1.6795985698699951","1.6795985698699951","1.5966718196868896","1.5966718196868896","1.5966718196868896"
"21","1.7271710634231567","1.7271710634231567","1.7271710634231567","1.6986325979232788","1.6986325979232788","1.6986325979232788","1.732594609260559","1.732594609260559","1.732594609260559","1.6016631126403809","1.6016631126403809","1.6016631126403809"
"22","1.610671877861023","1.610671877861023","1.610671877861023","1.6762924194335938","1.6762924194335938","1.6762924194335938","1.6669023036956787","1.6669023036956787","1.6669023036956787","1.464896321296692","1.464896321296692","1.464896321296692"
"23","1.709728717803955","1.709728717803955","1.709728717803955","1.7002038955688477","1.7002038955688477","1.7002038955688477","1.7161812782287598","1.7161812782287598","1.7161812782287598","1.5638461112976074","1.5638461112976074","1.5638461112976074"
"24","1.736430048942566","1.736430048942566","1.736430048942566","1.760140061378479","1.760140061378479","1.760140061378479","1.747060775756836","1.747060775756836","1.747060775756836","1.6082236766815186","1.6082236766815186","1.6082236766815186"
"25","1.7412705421447754","1.7412705421447754","1.7412705421447754","1.7220954895019531","1.7220954895019531","1.7220954895019531","1.7132556438446045","1.7132556438446045","1.7132556438446045","1.6070103645324707","1.6070103645324707","1.6070103645324707"
"26","1.744903802871704","1.744903802871704","1.744903802871704","1.7038253545761108","1.7038253545761108","1.7038253545761108","1.7120802402496338","1.7120802402496338","1.7120802402496338","1.6782171726226807","1.6782171726226807","1.6782171726226807"
"27","1.7078485488891602","1.7078485488891602","1.7078485488891602","1.7858800888061523","1.7858800888061523","1.7858800888061523","1.6829164028167725","1.6829164028167725","1.6829164028167725","1.7046778202056885","1.7046778202056885","1.7046778202056885"
"28","1.7114118337631226","1.7114118337631226","1.7114118337631226","1.72361159324646","1.72361159324646","1.72361159324646","1.771172046661377","1.771172046661377","1.771172046661377","1.6987491846084595","1.6987491846084595","1.6987491846084595"
"29","1.7500171661376953","1.7500171661376953","1.7500171661376953","1.7622469663619995","1.7622469663619995","1.7622469663619995","1.743710994720459","1.743710994720459","1.743710994720459","1.6876604557037354","1.6876604557037354","1.6876604557037354"
"30","1.7349188327789307","1.7349188327789307","1.7349188327789307","1.71012544631958","1.71012544631958","1.71012544631958","1.704283595085144","1.704283595085144","1.704283595085144","1.6836084127426147","1.6836084127426147","1.6836084127426147"
"31","1.733636736869812","1.733636736869812","1.733636736869812","1.7243378162384033","1.7243378162384033","1.7243378162384033","1.7434148788452148","1.7434148788452148","1.7434148788452148","1.7287399768829346","1.7287399768829346","1.7287399768829346"
"32","1.7320172786712646","1.7320172786712646","1.7320172786712646","1.724448800086975","1.724448800086975","1.724448800086975","1.7443859577178955","1.7443859577178955","1.7443859577178955","1.6968584060668945","1.6968584060668945","1.6968584060668945"
"33","1.7778146266937256","1.7778146266937256","1.7778146266937256","1.72849440574646","1.72849440574646","1.72849440574646","1.7406789064407349","1.7406789064407349","1.7406789064407349","1.6808266639709473","1.6808266639709473","1.6808266639709473"
"34","1.7118167877197266","1.7118167877197266","1.7118167877197266","1.7058427333831787","1.7058427333831787","1.7058427333831787","1.7334208488464355","1.7334208488464355","1.7334208488464355","1.6609344482421875","1.6609344482421875","1.6609344482421875"
"35","1.7211120128631592","1.7211120128631592","1.7211120128631592","1.7808666229248047","1.7808666229248047","1.7808666229248047","1.7083353996276855","1.7083353996276855","1.7083353996276855","1.629350185394287","1.629350185394287","1.629350185394287"
"36","1.6898316144943237","1.6898316144943237","1.6898316144943237","1.7651450634002686","1.7651450634002686","1.7651450634002686","1.749135136604309","1.749135136604309","1.749135136604309","1.7487318515777588","1.7487318515777588","1.7487318515777588"
"37","1.7040789127349854","1.7040789127349854","1.7040789127349854","1.730492115020752","1.730492115020752","1.730492115020752","1.758676528930664","1.758676528930664","1.758676528930664","1.7227990627288818","1.7227990627288818","1.7227990627288818"
"38","1.6827871799468994","1.6827871799468994","1.6827871799468994","1.741545557975769","1.741545557975769","1.741545557975769","1.7922542095184326","1.7922542095184326","1.7922542095184326","1.6411354541778564","1.6411354541778564","1.6411354541778564"
"39","1.726154088973999","1.726154088973999","1.726154088973999","1.713921308517456","1.713921308517456","1.713921308517456","1.7376389503479004","1.7376389503479004","1.7376389503479004","1.6734793186187744","1.6734793186187744","1.6734793186187744"
"40","1.764822244644165","1.764822244644165","1.764822244644165","1.6889164447784424","1.6889164447784424","1.6889164447784424","1.7276962995529175","1.7276962995529175","1.7276962995529175","1.7190954685211182","1.7190954685211182","1.7190954685211182"
