"Step","token_ablation - small - 50 - Train Loss","token_ablation - small - 50 - Train Loss__MIN","token_ablation - small - 50 - Train Loss__MAX","token_ablation - small - 20 - Train Loss","token_ablation - small - 20 - Train Loss__MIN","token_ablation - small - 20 - Train Loss__MAX","token_ablation - small - 1 - Train Loss","token_ablation - small - 1 - Train Loss__MIN","token_ablation - small - 1 - Train Loss__MAX","token_ablation - small - 10 - Train Loss","token_ablation - small - 10 - Train Loss__MIN","token_ablation - small - 10 - Train Loss__MAX"
"0","0.3645974397659302","0.3645974397659302","0.3645974397659302","0.9127503037452698","0.9127503037452698","0.9127503037452698","1.1172940731048584","1.1172940731048584","1.1172940731048584","1.0383872985839844","1.0383872985839844","1.0383872985839844"
"1","0.45889177918434143","0.45889177918434143","0.45889177918434143","1.0876553058624268","1.0876553058624268","1.0876553058624268","1.0855638980865479","1.0855638980865479","1.0855638980865479","1.0761234760284424","1.0761234760284424","1.0761234760284424"
"2","0.673249363899231","0.673249363899231","0.673249363899231","1.2187602519989014","1.2187602519989014","1.2187602519989014","1.2672085762023926","1.2672085762023926","1.2672085762023926","1.050584316253662","1.050584316253662","1.050584316253662"
"3","1.2091118097305298","1.2091118097305298","1.2091118097305298","1.2812697887420654","1.2812697887420654","1.2812697887420654","1.1538078784942627","1.1538078784942627","1.1538078784942627","1.1506304740905762","1.1506304740905762","1.1506304740905762"
"4","1.3529019355773926","1.3529019355773926","1.3529019355773926","1.4790451526641846","1.4790451526641846","1.4790451526641846","1.1887954473495483","1.1887954473495483","1.1887954473495483","1.0875067710876465","1.0875067710876465","1.0875067710876465"
"5","1.5647668838500977","1.5647668838500977","1.5647668838500977","1.5722031593322754","1.5722031593322754","1.5722031593322754","1.1602286100387573","1.1602286100387573","1.1602286100387573","1.1951072216033936","1.1951072216033936","1.1951072216033936"
"6","1.5718730688095093","1.5718730688095093","1.5718730688095093","1.6226346492767334","1.6226346492767334","1.6226346492767334","1.380135178565979","1.380135178565979","1.380135178565979","1.1178025007247925","1.1178025007247925","1.1178025007247925"
"7","1.580104947090149","1.580104947090149","1.580104947090149","1.5886123180389404","1.5886123180389404","1.5886123180389404","1.2289942502975464","1.2289942502975464","1.2289942502975464","1.1755006313323975","1.1755006313323975","1.1755006313323975"
"8","1.546535849571228","1.546535849571228","1.546535849571228","1.6180813312530518","1.6180813312530518","1.6180813312530518","1.2623765468597412","1.2623765468597412","1.2623765468597412","1.3018203973770142","1.3018203973770142","1.3018203973770142"
"9","1.6342679262161255","1.6342679262161255","1.6342679262161255","1.6057003736495972","1.6057003736495972","1.6057003736495972","1.248275876045227","1.248275876045227","1.248275876045227","1.259133219718933","1.259133219718933","1.259133219718933"
"10","1.6284366846084595","1.6284366846084595","1.6284366846084595","1.6327252388000488","1.6327252388000488","1.6327252388000488","1.2762291431427002","1.2762291431427002","1.2762291431427002","1.4265565872192383","1.4265565872192383","1.4265565872192383"
"11","1.6166306734085083","1.6166306734085083","1.6166306734085083","1.6987833976745605","1.6987833976745605","1.6987833976745605","1.3140933513641357","1.3140933513641357","1.3140933513641357","1.1881325244903564","1.1881325244903564","1.1881325244903564"
