"Step","token_ablation - large - 50 - Train Loss","token_ablation - large - 50 - Train Loss__MIN","token_ablation - large - 50 - Train Loss__MAX","token_ablation - large - 20 - Train Loss","token_ablation - large - 20 - Train Loss__MIN","token_ablation - large - 20 - Train Loss__MAX","token_ablation - large - 1 - Train Loss","token_ablation - large - 1 - Train Loss__MIN","token_ablation - large - 1 - Train Loss__MAX","token_ablation - large - 10 - Train Loss","token_ablation - large - 10 - Train Loss__MIN","token_ablation - large - 10 - Train Loss__MAX"
"0","0.347007155418396","0.347007155418396","0.347007155418396","0.751112163066864","0.751112163066864","0.751112163066864","1.0283191204071045","1.0283191204071045","1.0283191204071045","0.9056020975112915","0.9056020975112915","0.9056020975112915"
"1","0.45694512128829956","0.45694512128829956","0.45694512128829956","0.8159551620483398","0.8159551620483398","0.8159551620483398","0.9792766571044922","0.9792766571044922","0.9792766571044922","0.9823533296585083","0.9823533296585083","0.9823533296585083"
"2","0.5383396744728088","0.5383396744728088","0.5383396744728088","0.7806156873703003","0.7806156873703003","0.7806156873703003","1.0052340030670166","1.0052340030670166","1.0052340030670166","0.9636766314506531","0.9636766314506531","0.9636766314506531"
"3","0.5732549428939819","0.5732549428939819","0.5732549428939819","0.9513860940933228","0.9513860940933228","0.9513860940933228","1.0131348371505737","1.0131348371505737","1.0131348371505737","0.9155842065811157","0.9155842065811157","0.9155842065811157"
"4","0.5703039765357971","0.5703039765357971","0.5703039765357971","0.883694589138031","0.883694589138031","0.883694589138031","1.0203526020050049","1.0203526020050049","1.0203526020050049","0.9092257618904114","0.9092257618904114","0.9092257618904114"
"5","0.6452000141143799","0.6452000141143799","0.6452000141143799","0.9187504053115845","0.9187504053115845","0.9187504053115845","1.024932622909546","1.024932622909546","1.024932622909546","0.9429321885108948","0.9429321885108948","0.9429321885108948"
"6","0.8309949040412903","0.8309949040412903","0.8309949040412903","0.9091914296150208","0.9091914296150208","0.9091914296150208","1.0387234687805176","1.0387234687805176","1.0387234687805176","0.8826565146446228","0.8826565146446228","0.8826565146446228"
"7","0.9930142164230347","0.9930142164230347","0.9930142164230347","1.0464749336242676","1.0464749336242676","1.0464749336242676","1.0943169593811035","1.0943169593811035","1.0943169593811035","1.087256669998169","1.087256669998169","1.087256669998169"
"8","1.4018253087997437","1.4018253087997437","1.4018253087997437","1.099400520324707","1.099400520324707","1.099400520324707","1.0424585342407227","1.0424585342407227","1.0424585342407227","1.0448360443115234","1.0448360443115234","1.0448360443115234"
"9","1.5095547437667847","1.5095547437667847","1.5095547437667847","1.1666579246520996","1.1666579246520996","1.1666579246520996","1.100965976715088","1.100965976715088","1.100965976715088","1.0490443706512451","1.0490443706512451","1.0490443706512451"
"10","1.4903225898742676","1.4903225898742676","1.4903225898742676","1.2263877391815186","1.2263877391815186","1.2263877391815186","1.0240129232406616","1.0240129232406616","1.0240129232406616","1.1055047512054443","1.1055047512054443","1.1055047512054443"
"11","1.4444860219955444","1.4444860219955444","1.4444860219955444","1.2545795440673828","1.2545795440673828","1.2545795440673828","1.0865097045898438","1.0865097045898438","1.0865097045898438","1.2173168659210205","1.2173168659210205","1.2173168659210205"
