"Step","token_ablation - base - 50 - Train Loss","token_ablation - base - 50 - Train Loss__MIN","token_ablation - base - 50 - Train Loss__MAX","token_ablation - base - 20 - Train Loss","token_ablation - base - 20 - Train Loss__MIN","token_ablation - base - 20 - Train Loss__MAX","token_ablation - base - 1 - Train Loss","token_ablation - base - 1 - Train Loss__MIN","token_ablation - base - 1 - Train Loss__MAX","token_ablation - base - 10 - Train Loss","token_ablation - base - 10 - Train Loss__MIN","token_ablation - base - 10 - Train Loss__MAX"
"0","0.3918650150299072","0.3918650150299072","0.3918650150299072","0.9301058650016785","0.9301058650016785","0.9301058650016785","1.0549248456954956","1.0549248456954956","1.0549248456954956","1.0593130588531494","1.0593130588531494","1.0593130588531494"
"1","0.8120312690734863","0.8120312690734863","0.8120312690734863","1.1595927476882935","1.1595927476882935","1.1595927476882935","1.0929709672927856","1.0929709672927856","1.0929709672927856","1.2020671367645264","1.2020671367645264","1.2020671367645264"
"2","1.6019859313964844","1.6019859313964844","1.6019859313964844","1.3816627264022827","1.3816627264022827","1.3816627264022827","1.1028103828430176","1.1028103828430176","1.1028103828430176","1.342883825302124","1.342883825302124","1.342883825302124"
"3","1.5962095260620117","1.5962095260620117","1.5962095260620117","1.5671234130859375","1.5671234130859375","1.5671234130859375","1.1630300283432007","1.1630300283432007","1.1630300283432007","1.5204699039459229","1.5204699039459229","1.5204699039459229"
"4","1.6958649158477783","1.6958649158477783","1.6958649158477783","1.7003332376480103","1.7003332376480103","1.7003332376480103","1.1776421070098877","1.1776421070098877","1.1776421070098877","1.4972453117370605","1.4972453117370605","1.4972453117370605"
"5","1.6687604188919067","1.6687604188919067","1.6687604188919067","1.7169989347457886","1.7169989347457886","1.7169989347457886","1.3405263423919678","1.3405263423919678","1.3405263423919678","1.6393407583236694","1.6393407583236694","1.6393407583236694"
"6","1.7043254375457764","1.7043254375457764","1.7043254375457764","1.7067030668258667","1.7067030668258667","1.7067030668258667","1.5099338293075562","1.5099338293075562","1.5099338293075562","1.6346917152404785","1.6346917152404785","1.6346917152404785"
"7","1.6691054105758667","1.6691054105758667","1.6691054105758667","1.674382209777832","1.674382209777832","1.674382209777832","1.6597459316253662","1.6597459316253662","1.6597459316253662","1.7287728786468506","1.7287728786468506","1.7287728786468506"
"8","1.6453937292099","1.6453937292099","1.6453937292099","1.735062599182129","1.735062599182129","1.735062599182129","1.681255578994751","1.681255578994751","1.681255578994751","1.7160780429840088","1.7160780429840088","1.7160780429840088"
"9","1.7514686584472656","1.7514686584472656","1.7514686584472656","1.7185757160186768","1.7185757160186768","1.7185757160186768","1.6824396848678589","1.6824396848678589","1.6824396848678589","1.7607691287994385","1.7607691287994385","1.7607691287994385"
"10","1.7036337852478027","1.7036337852478027","1.7036337852478027","1.7806425094604492","1.7806425094604492","1.7806425094604492","1.6950395107269287","1.6950395107269287","1.6950395107269287","1.73142409324646","1.73142409324646","1.73142409324646"
"11","1.7186172008514404","1.7186172008514404","1.7186172008514404","1.747459888458252","1.747459888458252","1.747459888458252","1.719784140586853","1.719784140586853","1.719784140586853","1.7185574769973755","1.7185574769973755","1.7185574769973755"
"12","1.7262446880340576","1.7262446880340576","1.7262446880340576","1.725356101989746","1.725356101989746","1.725356101989746","1.6624428033828735","1.6624428033828735","1.6624428033828735","1.7476041316986084","1.7476041316986084","1.7476041316986084"
"13","1.7466477155685425","1.7466477155685425","1.7466477155685425","1.7714236974716187","1.7714236974716187","1.7714236974716187","1.6738908290863037","1.6738908290863037","1.6738908290863037","1.7643035650253296","1.7643035650253296","1.7643035650253296"
"14","1.7252743244171143","1.7252743244171143","1.7252743244171143","1.7358646392822266","1.7358646392822266","1.7358646392822266","1.644360899925232","1.644360899925232","1.644360899925232","1.7331523895263672","1.7331523895263672","1.7331523895263672"
"15","1.7481482028961182","1.7481482028961182","1.7481482028961182","1.7667958736419678","1.7667958736419678","1.7667958736419678","1.6027698516845703","1.6027698516845703","1.6027698516845703","1.7021992206573486","1.7021992206573486","1.7021992206573486"
"16","1.7619397640228271","1.7619397640228271","1.7619397640228271","1.720630407333374","1.720630407333374","1.720630407333374","1.591764211654663","1.591764211654663","1.591764211654663","1.774330735206604","1.774330735206604","1.774330735206604"
"17","1.760212779045105","1.760212779045105","1.760212779045105","1.737397313117981","1.737397313117981","1.737397313117981","1.6367650032043457","1.6367650032043457","1.6367650032043457","1.728379249572754","1.728379249572754","1.728379249572754"
"18","1.7354865074157715","1.7354865074157715","1.7354865074157715","1.7504624128341675","1.7504624128341675","1.7504624128341675","1.7183749675750732","1.7183749675750732","1.7183749675750732","1.7651689052581787","1.7651689052581787","1.7651689052581787"
"19","1.7854090929031372","1.7854090929031372","1.7854090929031372","1.7643487453460693","1.7643487453460693","1.7643487453460693","1.6893500089645386","1.6893500089645386","1.6893500089645386","1.7732110023498535","1.7732110023498535","1.7732110023498535"
"20","1.7450131177902222","1.7450131177902222","1.7450131177902222","1.772237777709961","1.772237777709961","1.772237777709961","1.6326103210449219","1.6326103210449219","1.6326103210449219","1.7150096893310547","1.7150096893310547","1.7150096893310547"
"21","1.770993709564209","1.770993709564209","1.770993709564209","1.751051425933838","1.751051425933838","1.751051425933838","1.741980791091919","1.741980791091919","1.741980791091919","1.7718204259872437","1.7718204259872437","1.7718204259872437"
"22","1.7464087009429932","1.7464087009429932","1.7464087009429932","1.7746785879135132","1.7746785879135132","1.7746785879135132","1.6710705757141113","1.6710705757141113","1.6710705757141113","1.7651638984680176","1.7651638984680176","1.7651638984680176"
"23","1.7555184364318848","1.7555184364318848","1.7555184364318848","1.664498209953308","1.664498209953308","1.664498209953308","1.726668119430542","1.726668119430542","1.726668119430542","1.7691291570663452","1.7691291570663452","1.7691291570663452"
"24","1.715665578842163","1.715665578842163","1.715665578842163","1.7917424440383911","1.7917424440383911","1.7917424440383911","1.725663423538208","1.725663423538208","1.725663423538208","1.7699142694473267","1.7699142694473267","1.7699142694473267"
"25","1.7669745683670044","1.7669745683670044","1.7669745683670044","1.7723093032836914","1.7723093032836914","1.7723093032836914","1.7153167724609375","1.7153167724609375","1.7153167724609375","1.824108600616455","1.824108600616455","1.824108600616455"
"26","1.7869065999984741","1.7869065999984741","1.7869065999984741","1.7247637510299683","1.7247637510299683","1.7247637510299683","1.6840161085128784","1.6840161085128784","1.6840161085128784","1.7192389965057373","1.7192389965057373","1.7192389965057373"
"27","1.7571229934692383","1.7571229934692383","1.7571229934692383","1.7975614070892334","1.7975614070892334","1.7975614070892334","1.7202898263931274","1.7202898263931274","1.7202898263931274","1.7458710670471191","1.7458710670471191","1.7458710670471191"
