"Step","deit3_huge_patch14_224 - train robustness - Train Loss Invariance","deit3_huge_patch14_224 - train robustness - Train Loss Invariance__MIN","deit3_huge_patch14_224 - train robustness - Train Loss Invariance__MAX","openclip_vitl14 - train robustness - Train Loss Invariance","openclip_vitl14 - train robustness - Train Loss Invariance__MIN","openclip_vitl14 - train robustness - Train Loss Invariance__MAX","openclip_vith14 - train robustness - Train Loss Invariance","openclip_vith14 - train robustness - Train Loss Invariance__MIN","openclip_vith14 - train robustness - Train Loss Invariance__MAX","openclip_vitb16 - train robustness - Train Loss Invariance","openclip_vitb16 - train robustness - Train Loss Invariance__MIN","openclip_vitb16 - train robustness - Train Loss Invariance__MAX","deit3_large_patch16_224 - train robustness - Train Loss Invariance","deit3_large_patch16_224 - train robustness - Train Loss Invariance__MIN","deit3_large_patch16_224 - train robustness - Train Loss Invariance__MAX","deit3_base_patch16_224 - train robustness - Train Loss Invariance","deit3_base_patch16_224 - train robustness - Train Loss Invariance__MIN","deit3_base_patch16_224 - train robustness - Train Loss Invariance__MAX"
"0","0.8323302268981934","0.8323302268981934","0.8323302268981934","0.9777803421020508","0.9777803421020508","0.9777803421020508","0.9924271702766418","0.9924271702766418","0.9924271702766418","0.9960159063339233","0.9960159063339233","0.9960159063339233","0.8096989393234253","0.8096989393234253","0.8096989393234253","0.9129926562309265","0.9129926562309265","0.9129926562309265"
"1","0.8734189867973328","0.8734189867973328","0.8734189867973328","0.9824292659759521","0.9824292659759521","0.9824292659759521","0.9960485696792603","0.9960485696792603","0.9960485696792603","0.9903091192245483","0.9903091192245483","0.9903091192245483","0.8270469903945923","0.8270469903945923","0.8270469903945923","0.8561662435531616","0.8561662435531616","0.8561662435531616"
"2","0.8590404391288757","0.8590404391288757","0.8590404391288757","0.9813443422317505","0.9813443422317505","0.9813443422317505","0.9942796230316162","0.9942796230316162","0.9942796230316162","0.9811644554138184","0.9811644554138184","0.9811644554138184","0.7765785455703735","0.7765785455703735","0.7765785455703735","0.8752586245536804","0.8752586245536804","0.8752586245536804"
"3","0.844769299030304","0.844769299030304","0.844769299030304","0.9880328178405762","0.9880328178405762","0.9880328178405762","0.9917880296707153","0.9917880296707153","0.9917880296707153","0.9721412658691406","0.9721412658691406","0.9721412658691406","0.8307951092720032","0.8307951092720032","0.8307951092720032","0.8741910457611084","0.8741910457611084","0.8741910457611084"
"4","0.8687779307365417","0.8687779307365417","0.8687779307365417","0.9827544689178467","0.9827544689178467","0.9827544689178467","0.9943353533744812","0.9943353533744812","0.9943353533744812","0.9520394802093506","0.9520394802093506","0.9520394802093506","0.8388880491256714","0.8388880491256714","0.8388880491256714","0.8253048658370972","0.8253048658370972","0.8253048658370972"
"5","0.8509517908096313","0.8509517908096313","0.8509517908096313","0.9830459356307983","0.9830459356307983","0.9830459356307983","0.9930542707443237","0.9930542707443237","0.9930542707443237","0.9391911029815674","0.9391911029815674","0.9391911029815674","0.8126168251037598","0.8126168251037598","0.8126168251037598","0.844696044921875","0.844696044921875","0.844696044921875"
"6","0.8595550656318665","0.8595550656318665","0.8595550656318665","0.9858431816101074","0.9858431816101074","0.9858431816101074","0.9926942586898804","0.9926942586898804","0.9926942586898804","0.9282093048095703","0.9282093048095703","0.9282093048095703","0.8228236436843872","0.8228236436843872","0.8228236436843872","0.7950488328933716","0.7950488328933716","0.7950488328933716"
"7","0.8673557639122009","0.8673557639122009","0.8673557639122009","0.9839845299720764","0.9839845299720764","0.9839845299720764","0.9924756288528442","0.9924756288528442","0.9924756288528442","0.923028826713562","0.923028826713562","0.923028826713562","0.7914746999740601","0.7914746999740601","0.7914746999740601","0.7861895561218262","0.7861895561218262","0.7861895561218262"
"8","0.8667230606079102","0.8667230606079102","0.8667230606079102","0.9725031852722168","0.9725031852722168","0.9725031852722168","0.9880369901657104","0.9880369901657104","0.9880369901657104","0.8552341461181641","0.8552341461181641","0.8552341461181641","0.771543562412262","0.771543562412262","0.771543562412262","0.7803742289543152","0.7803742289543152","0.7803742289543152"
"9","0.8463465571403503","0.8463465571403503","0.8463465571403503","0.9703023433685303","0.9703023433685303","0.9703023433685303","0.9809305667877197","0.9809305667877197","0.9809305667877197","0.8423080444335938","0.8423080444335938","0.8423080444335938","0.8446440696716309","0.8446440696716309","0.8446440696716309","0.7892255783081055","0.7892255783081055","0.7892255783081055"
"10","0.867523193359375","0.867523193359375","0.867523193359375","0.9633213877677917","0.9633213877677917","0.9633213877677917","0.9824790358543396","0.9824790358543396","0.9824790358543396","0.841303825378418","0.841303825378418","0.841303825378418","0.7953521013259888","0.7953521013259888","0.7953521013259888","0.8303195834159851","0.8303195834159851","0.8303195834159851"
"11","0.8062077760696411","0.8062077760696411","0.8062077760696411","0.9578748345375061","0.9578748345375061","0.9578748345375061","0.9873532056808472","0.9873532056808472","0.9873532056808472","0.8629825711250305","0.8629825711250305","0.8629825711250305","0.8411924839019775","0.8411924839019775","0.8411924839019775","0.8159381151199341","0.8159381151199341","0.8159381151199341"
"12","0.8609830737113953","0.8609830737113953","0.8609830737113953","0.945098340511322","0.945098340511322","0.945098340511322","0.978195071220398","0.978195071220398","0.978195071220398","0.8727055788040161","0.8727055788040161","0.8727055788040161","0.8263030648231506","0.8263030648231506","0.8263030648231506","0.8264977335929871","0.8264977335929871","0.8264977335929871"
"13","0.8213663101196289","0.8213663101196289","0.8213663101196289","0.9325408339500427","0.9325408339500427","0.9325408339500427","0.9663482904434204","0.9663482904434204","0.9663482904434204","0.9049496650695801","0.9049496650695801","0.9049496650695801","0.8077282905578613","0.8077282905578613","0.8077282905578613","0.7775360345840454","0.7775360345840454","0.7775360345840454"
"14","0.7868570685386658","0.7868570685386658","0.7868570685386658","0.9338761568069458","0.9338761568069458","0.9338761568069458","0.9592039585113525","0.9592039585113525","0.9592039585113525","0.9009827375411987","0.9009827375411987","0.9009827375411987","0.7961591482162476","0.7961591482162476","0.7961591482162476","0.8050352931022644","0.8050352931022644","0.8050352931022644"
"15","0.8236212730407715","0.8236212730407715","0.8236212730407715","0.9137486219406128","0.9137486219406128","0.9137486219406128","0.9195208549499512","0.9195208549499512","0.9195208549499512","0.9080228805541992","0.9080228805541992","0.9080228805541992","0.8422837853431702","0.8422837853431702","0.8422837853431702","0.8350334167480469","0.8350334167480469","0.8350334167480469"
"16","0.8281183242797852","0.8281183242797852","0.8281183242797852","0.9277461767196655","0.9277461767196655","0.9277461767196655","0.9338151216506958","0.9338151216506958","0.9338151216506958","0.9234493970870972","0.9234493970870972","0.9234493970870972","0.8340000510215759","0.8340000510215759","0.8340000510215759","0.8068174123764038","0.8068174123764038","0.8068174123764038"
"17","0.8269319534301758","0.8269319534301758","0.8269319534301758","0.9126887917518616","0.9126887917518616","0.9126887917518616","0.8898581266403198","0.8898581266403198","0.8898581266403198","0.9479277729988098","0.9479277729988098","0.9479277729988098","0.8112642765045166","0.8112642765045166","0.8112642765045166","0.8087047338485718","0.8087047338485718","0.8087047338485718"
"18","0.8444947600364685","0.8444947600364685","0.8444947600364685","0.8999001979827881","0.8999001979827881","0.8999001979827881","0.8754847049713135","0.8754847049713135","0.8754847049713135","0.9320411682128906","0.9320411682128906","0.9320411682128906","0.8026984930038452","0.8026984930038452","0.8026984930038452","0.823605477809906","0.823605477809906","0.823605477809906"
"19","0.7591270804405212","0.7591270804405212","0.7591270804405212","0.9225766062736511","0.9225766062736511","0.9225766062736511","0.9198569059371948","0.9198569059371948","0.9198569059371948","0.9538127779960632","0.9538127779960632","0.9538127779960632","0.840590238571167","0.840590238571167","0.840590238571167","0.8284562826156616","0.8284562826156616","0.8284562826156616"
"20","0.8372511267662048","0.8372511267662048","0.8372511267662048","0.9272511601448059","0.9272511601448059","0.9272511601448059","0.9433532953262329","0.9433532953262329","0.9433532953262329","0.935045063495636","0.935045063495636","0.935045063495636","0.8000558018684387","0.8000558018684387","0.8000558018684387","0.8313683271408081","0.8313683271408081","0.8313683271408081"
"21","0.8102309107780457","0.8102309107780457","0.8102309107780457","0.9580272436141968","0.9580272436141968","0.9580272436141968","0.947171688079834","0.947171688079834","0.947171688079834","0.9150552153587341","0.9150552153587341","0.9150552153587341","0.8476073145866394","0.8476073145866394","0.8476073145866394","0.7716805338859558","0.7716805338859558","0.7716805338859558"
