"Step","deit3_huge_patch14_224 - train robustness - Train Loss Adversarial","deit3_huge_patch14_224 - train robustness - Train Loss Adversarial__MIN","deit3_huge_patch14_224 - train robustness - Train Loss Adversarial__MAX","openclip_vitl14 - train robustness - Train Loss Adversarial","openclip_vitl14 - train robustness - Train Loss Adversarial__MIN","openclip_vitl14 - train robustness - Train Loss Adversarial__MAX","openclip_vith14 - train robustness - Train Loss Adversarial","openclip_vith14 - train robustness - Train Loss Adversarial__MIN","openclip_vith14 - train robustness - Train Loss Adversarial__MAX","openclip_vitb16 - train robustness - Train Loss Adversarial","openclip_vitb16 - train robustness - Train Loss Adversarial__MIN","openclip_vitb16 - train robustness - Train Loss Adversarial__MAX","deit3_large_patch16_224 - train robustness - Train Loss Adversarial","deit3_large_patch16_224 - train robustness - Train Loss Adversarial__MIN","deit3_large_patch16_224 - train robustness - Train Loss Adversarial__MAX","deit3_base_patch16_224 - train robustness - Train Loss Adversarial","deit3_base_patch16_224 - train robustness - Train Loss Adversarial__MIN","deit3_base_patch16_224 - train robustness - Train Loss Adversarial__MAX"
"0","0.602594792842865","0.602594792842865","0.602594792842865","0.06350792944431305","0.06350792944431305","0.06350792944431305","0.15756286680698395","0.15756286680698395","0.15756286680698395","0.10142664611339569","0.10142664611339569","0.10142664611339569","0.5764382481575012","0.5764382481575012","0.5764382481575012","0.3304104804992676","0.3304104804992676","0.3304104804992676"
"1","0.6404829025268555","0.6404829025268555","0.6404829025268555","0.20153343677520752","0.20153343677520752","0.20153343677520752","0.10862330347299576","0.10862330347299576","0.10862330347299576","0.053739648312330246","0.053739648312330246","0.053739648312330246","0.6808138489723206","0.6808138489723206","0.6808138489723206","0.47594577074050903","0.47594577074050903","0.47594577074050903"
"2","0.6218641996383667","0.6218641996383667","0.6218641996383667","0.2797803282737732","0.2797803282737732","0.2797803282737732","0.1310667246580124","0.1310667246580124","0.1310667246580124","0.382224440574646","0.382224440574646","0.382224440574646","0.6431227922439575","0.6431227922439575","0.6431227922439575","0.43673214316368103","0.43673214316368103","0.43673214316368103"
"3","0.7022784352302551","0.7022784352302551","0.7022784352302551","0.33004695177078247","0.33004695177078247","0.33004695177078247","0.17901572585105896","0.17901572585105896","0.17901572585105896","0.33078980445861816","0.33078980445861816","0.33078980445861816","0.7266280651092529","0.7266280651092529","0.7266280651092529","0.5188438296318054","0.5188438296318054","0.5188438296318054"
"4","0.6417173743247986","0.6417173743247986","0.6417173743247986","0.2789958417415619","0.2789958417415619","0.2789958417415619","0.18621402978897095","0.18621402978897095","0.18621402978897095","0.46155881881713867","0.46155881881713867","0.46155881881713867","0.7192747592926025","0.7192747592926025","0.7192747592926025","0.4870573878288269","0.4870573878288269","0.4870573878288269"
"5","0.7333170771598816","0.7333170771598816","0.7333170771598816","0.333196222782135","0.333196222782135","0.333196222782135","0.2256487011909485","0.2256487011909485","0.2256487011909485","0.5757178068161011","0.5757178068161011","0.5757178068161011","0.701050877571106","0.701050877571106","0.701050877571106","0.6259968280792236","0.6259968280792236","0.6259968280792236"
"6","0.7153121829032898","0.7153121829032898","0.7153121829032898","0.5671967267990112","0.5671967267990112","0.5671967267990112","0.24862322211265564","0.24862322211265564","0.24862322211265564","0.7372203469276428","0.7372203469276428","0.7372203469276428","0.735537588596344","0.735537588596344","0.735537588596344","0.6255414485931396","0.6255414485931396","0.6255414485931396"
"7","0.6949316263198853","0.6949316263198853","0.6949316263198853","0.5012215375900269","0.5012215375900269","0.5012215375900269","0.08047760277986526","0.08047760277986526","0.08047760277986526","0.7593343257904053","0.7593343257904053","0.7593343257904053","0.7228724360466003","0.7228724360466003","0.7228724360466003","0.5454224348068237","0.5454224348068237","0.5454224348068237"
"8","0.6896312236785889","0.6896312236785889","0.6896312236785889","0.6635684967041016","0.6635684967041016","0.6635684967041016","0.25808799266815186","0.25808799266815186","0.25808799266815186","0.7057612538337708","0.7057612538337708","0.7057612538337708","0.7151912450790405","0.7151912450790405","0.7151912450790405","0.5838519334793091","0.5838519334793091","0.5838519334793091"
"9","0.7441251873970032","0.7441251873970032","0.7441251873970032","0.7085962295532227","0.7085962295532227","0.7085962295532227","0.345473974943161","0.345473974943161","0.345473974943161","0.7312456369400024","0.7312456369400024","0.7312456369400024","0.7733510136604309","0.7733510136604309","0.7733510136604309","0.6483978629112244","0.6483978629112244","0.6483978629112244"
