"Step","deit3_huge_patch14_224 - train robustness - Train Loss","deit3_huge_patch14_224 - train robustness - Train Loss__MIN","deit3_huge_patch14_224 - train robustness - Train Loss__MAX","openclip_vitl14 - train robustness - Train Loss","openclip_vitl14 - train robustness - Train Loss__MIN","openclip_vitl14 - train robustness - Train Loss__MAX","openclip_vith14 - train robustness - Train Loss","openclip_vith14 - train robustness - Train Loss__MIN","openclip_vith14 - train robustness - Train Loss__MAX","openclip_vitb16 - train robustness - Train Loss","openclip_vitb16 - train robustness - Train Loss__MIN","openclip_vitb16 - train robustness - Train Loss__MAX","deit3_large_patch16_224 - train robustness - Train Loss","deit3_large_patch16_224 - train robustness - Train Loss__MIN","deit3_large_patch16_224 - train robustness - Train Loss__MAX","deit3_base_patch16_224 - train robustness - Train Loss","deit3_base_patch16_224 - train robustness - Train Loss__MIN","deit3_base_patch16_224 - train robustness - Train Loss__MAX"
"10","1.593951940536499","1.593951940536499","1.593951940536499","1.7840988636016846","1.7840988636016846","1.7840988636016846","1.2901121377944946","1.2901121377944946","1.2901121377944946","1.5701402425765991","1.5701402425765991","1.5701402425765991","1.5239964723587036","1.5239964723587036","1.5239964723587036","1.5552303791046143","1.5552303791046143","1.5552303791046143"
"11","1.4722225666046143","1.4722225666046143","1.4722225666046143","1.7679049968719482","1.7679049968719482","1.7679049968719482","1.4589214324951172","1.4589214324951172","1.4589214324951172","1.5836303234100342","1.5836303234100342","1.5836303234100342","1.6166913509368896","1.6166913509368896","1.6166913509368896","1.546421766281128","1.546421766281128","1.546421766281128"
"12","1.5978893041610718","1.5978893041610718","1.5978893041610718","1.8227753639221191","1.8227753639221191","1.8227753639221191","1.591856837272644","1.591856837272644","1.591856837272644","1.6301109790802002","1.6301109790802002","1.6301109790802002","1.5672192573547363","1.5672192573547363","1.5672192573547363","1.5430595874786377","1.5430595874786377","1.5430595874786377"
"13","1.5328872203826904","1.5328872203826904","1.5328872203826904","1.786315679550171","1.786315679550171","1.786315679550171","1.6153225898742676","1.6153225898742676","1.6153225898742676","1.6834052801132202","1.6834052801132202","1.6834052801132202","1.5540850162506104","1.5540850162506104","1.5540850162506104","1.4060654640197754","1.4060654640197754","1.4060654640197754"
"14","1.468901515007019","1.468901515007019","1.468901515007019","1.7597451210021973","1.7597451210021973","1.7597451210021973","1.7735778093338013","1.7735778093338013","1.7735778093338013","1.6565296649932861","1.6565296649932861","1.6565296649932861","1.5281434059143066","1.5281434059143066","1.5281434059143066","1.5081071853637695","1.5081071853637695","1.5081071853637695"
"15","1.5546016693115234","1.5546016693115234","1.5546016693115234","1.7904173135757446","1.7904173135757446","1.7904173135757446","1.6935511827468872","1.6935511827468872","1.6935511827468872","1.6941941976547241","1.6941941976547241","1.6941941976547241","1.6212003231048584","1.6212003231048584","1.6212003231048584","1.5431294441223145","1.5431294441223145","1.5431294441223145"
"16","1.5743242502212524","1.5743242502212524","1.5743242502212524","1.7130720615386963","1.7130720615386963","1.7130720615386963","1.743800401687622","1.743800401687622","1.743800401687622","1.7024860382080078","1.7024860382080078","1.7024860382080078","1.5803601741790771","1.5803601741790771","1.5803601741790771","1.4890193939208984","1.4890193939208984","1.4890193939208984"
"17","1.534827709197998","1.534827709197998","1.534827709197998","1.7474300861358643","1.7474300861358643","1.7474300861358643","1.6529209613800049","1.6529209613800049","1.6529209613800049","1.7190227508544922","1.7190227508544922","1.7190227508544922","1.544342041015625","1.544342041015625","1.544342041015625","1.472747802734375","1.472747802734375","1.472747802734375"
"18","1.6053353548049927","1.6053353548049927","1.6053353548049927","1.758402705192566","1.758402705192566","1.758402705192566","1.6197435855865479","1.6197435855865479","1.6197435855865479","1.6959328651428223","1.6959328651428223","1.6959328651428223","1.522963285446167","1.522963285446167","1.522963285446167","1.4990170001983643","1.4990170001983643","1.4990170001983643"
"19","1.452453374862671","1.452453374862671","1.452453374862671","1.7834360599517822","1.7834360599517822","1.7834360599517822","1.6800289154052734","1.6800289154052734","1.6800289154052734","1.6313743591308594","1.6313743591308594","1.6313743591308594","1.5778828859329224","1.5778828859329224","1.5778828859329224","1.5584437847137451","1.5584437847137451","1.5584437847137451"
"20","1.6123168468475342","1.6123168468475342","1.6123168468475342","1.8065956830978394","1.8065956830978394","1.8065956830978394","1.6774277687072754","1.6774277687072754","1.6774277687072754","1.6948027610778809","1.6948027610778809","1.6948027610778809","1.5292937755584717","1.5292937755584717","1.5292937755584717","1.5074079036712646","1.5074079036712646","1.5074079036712646"
"21","1.5298917293548584","1.5298917293548584","1.5298917293548584","1.845129370689392","1.845129370689392","1.845129370689392","1.7040879726409912","1.7040879726409912","1.7040879726409912","1.6348607540130615","1.6348607540130615","1.6348607540130615","1.621638536453247","1.621638536453247","1.621638536453247","1.3922759294509888","1.3922759294509888","1.3922759294509888"
"22","1.4854652881622314","1.4854652881622314","1.4854652881622314","1.7610191106796265","1.7610191106796265","1.7610191106796265","1.7341454029083252","1.7341454029083252","1.7341454029083252","1.686736822128296","1.686736822128296","1.686736822128296","1.6085526943206787","1.6085526943206787","1.6085526943206787","1.5177706480026245","1.5177706480026245","1.5177706480026245"
"23","1.5777831077575684","1.5777831077575684","1.5777831077575684","1.782973289489746","1.782973289489746","1.782973289489746","1.7583024501800537","1.7583024501800537","1.7583024501800537","1.681814193725586","1.681814193725586","1.681814193725586","1.618535041809082","1.618535041809082","1.618535041809082","1.5301724672317505","1.5301724672317505","1.5301724672317505"
"24","1.579192042350769","1.579192042350769","1.579192042350769","1.8063884973526","1.8063884973526","1.8063884973526","1.7616511583328247","1.7616511583328247","1.7616511583328247","1.7114017009735107","1.7114017009735107","1.7114017009735107","1.541252613067627","1.541252613067627","1.541252613067627","1.588273286819458","1.588273286819458","1.588273286819458"
